INFO:root:2016-07-13 00:00:00.000000 | Total BTC: 0.39905528746592 | Total rand: R4070.36
INFO:root:2016-07-14 00:00:00.000000 | Total BTC: 0.40048774436558 | Total rand: R4111.41
INFO:root:2016-07-15 00:00:00.000000 | Total BTC: 0.41717010308056 | Total rand: R4213.0
INFO:root:2016-07-16 00:00:00.000000 | Total BTC: 0.41964789413146 | Total rand: R4258.59
INFO:root:2016-07-17 00:00:00.000000 | Total BTC: 0.41652001860422 | Total rand: R4228.93
INFO:root:2016-07-18 00:00:00.000000 | Total BTC: 0.40605057243150006 | Total rand: R4141.31
INFO:root:2016-07-19 00:00:00.000000 | Total BTC: 0.4039990937972 | Total rand: R4130.49
INFO:root:2016-07-20 00:00:00.000000 | Total BTC: 0.41345815480192 | Total rand: R4206.94
INFO:root:2016-07-21 00:00:00.000000 | Total BTC: 0.42449498281820003 | Total rand: R4303.11
INFO:root:2016-07-22 00:00:00.000000 | Total BTC: 0.42605257050036005 | Total rand: R4301.85
INFO:root:2016-07-23 00:00:00.000000 | Total BTC: 0.46200479809890005 | Total rand: R4616.81
INFO:root:2016-07-24 00:00:00.000000 | Total BTC: 0.45308325522782 | Total rand: R4567.08
INFO:root:2016-07-25 00:00:00.000000 | Total BTC: 0.42858927163795996 | Total rand: R4328.75
INFO:root:2016-07-26 00:00:00.000000 | Total BTC: 0.44807186996096005 | Total rand: R4481.17
INFO:root:2016-07-27 00:00:00.000000 | Total BTC: 0.42039416150912 | Total rand: R4183.76
INFO:root:2016-07-28 00:00:00.000000 | Total BTC: 0.43558854614116005 | Total rand: R4314.5
INFO:root:2016-07-29 00:00:00.000000 | Total BTC: 0.43247850541298005 | Total rand: R4309.65
INFO:root:2016-07-30 00:00:00.000000 | Total BTC: 0.4341199983457001 | Total rand: R4277.82
INFO:root:2016-07-31 00:00:00.000000 | Total BTC: 0.42966437756698006 | Total rand: R4233.05
INFO:root:2016-08-01 00:00:00.000000 | Total BTC: 0.42968293418104 | Total rand: R3987.46
INFO:root:2016-08-02 00:00:00.000000 | Total BTC: 0.42220865509098005 | Total rand: R3834.5
INFO:root:2016-08-03 00:00:00.000000 | Total BTC: 0.40878613330650004 | Total rand: R3188.53
INFO:root:2016-08-04 00:00:00.000000 | Total BTC: 0.42225150774588005 | Total rand: R3702.72
INFO:root:2016-08-05 00:00:00.000000 | Total BTC: 0.43539339341868 | Total rand: R3670.37
INFO:root:2016-08-06 00:00:00.000000 | Total BTC: 0.43244284996472 | Total rand: R3721.17
INFO:root:2016-08-07 00:00:00.000000 | Total BTC: 0.4286132468841 | Total rand: R3725.93
INFO:root:2016-08-08 00:00:00.000000 | Total BTC: 0.42716941481982 | Total rand: R3810.78
INFO:root:2016-08-09 00:00:00.000000 | Total BTC: 0.43384983289076 | Total rand: R3820.48
INFO:root:2016-08-10 00:00:00.000000 | Total BTC: 0.4493718655845 | Total rand: R3898.75
INFO:root:2016-08-11 00:00:00.000000 | Total BTC: 0.44862185940932 | Total rand: R3784.57
INFO:root:2016-08-12 00:00:00.000000 | Total BTC: 0.43949986875714003 | Total rand: R3666.75
INFO:root:2016-08-13 00:00:00.000000 | Total BTC: 0.44097139055140006 | Total rand: R3682.11
INFO:root:2016-08-14 00:00:00.000000 | Total BTC: 0.43882923957282 | Total rand: R3698.45
INFO:root:2016-08-15 00:00:00.000000 | Total BTC: 0.43896202982162 | Total rand: R3570.96
INFO:root:2016-08-16 00:00:00.000000 | Total BTC: 0.44100854317006 | Total rand: R3525.86
INFO:root:2016-08-17 00:00:00.000000 | Total BTC: 0.43608223948638003 | Total rand: R3442.87
INFO:root:2016-08-18 00:00:00.000000 | Total BTC: 0.43292172227872 | Total rand: R3421.81
INFO:root:2016-08-19 00:00:00.000000 | Total BTC: 0.43168912131208004 | Total rand: R3510.93
INFO:root:2016-08-20 00:00:00.000000 | Total BTC: 0.43260860367307996 | Total rand: R3694.91
INFO:root:2016-08-21 00:00:00.000000 | Total BTC: 0.4391375829418401 | Total rand: R3776.14
INFO:root:2016-08-22 00:00:00.000000 | Total BTC: 0.4382706883492 | Total rand: R3761.24
INFO:root:2016-08-23 00:00:00.000000 | Total BTC: 0.4508623159179 | Total rand: R3834.58
INFO:root:2016-08-24 00:00:00.000000 | Total BTC: 0.45926241385151995 | Total rand: R3847.24
